"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2009","Score 2010"
1,"ITA","LIQ",29,"Vincenzo Nibali",16,599,2221
2,"BEL","OLO",6,"Philippe Gilbert",28,1990,2145
3,"ESP","AST",1,"Alberto Contador",32,2222,1976
4,"USA","GRM",14,"Tyler Farrar",20,1090,1900
5,"ESP","KAT",36,"Joaquim Rodriguez",14,871,1840
6,"SUI","SAX",3,"Fabian Cancellara",28,1727,1736
7,"AUS","BMC",5,"Cadel Evans",28,1908,1660
8,"GBR","THR",4,"Mark Cavendish",28,1688,1541
9,"KAZ","AST",38,"Alexandre Vinokourov",14,485,1482
10,"NOR","CTT",8,"Thor Hushovd",24,1560,1442
11,"LUX","SAX",10,"Andy Schleck",24,1467,1364
12,"ITA","AND",71,"Michele Scarponi",8,456,1293
13,"NED","RAB",15,"Robert Gesink",20,1235,1273
14,"ESP","EUS",9,"Samuel Sanchez",24,1730,1265
15,"LUX","SAX",37,"Fränk Schleck",14,632,1224
16,"ESP","GCE",45,"Luis Leon Sanchez",12,688,1130
17,"BEL","QST",11,"Tom Boonen",22,1525,1065
18,"ESP","RAB",50,"Oscar Freire",10,540,1046
19,"ITA","LAM",35,"Alessandro Petacchi",14,804,1042
20,"ESP","EUS",178,"Igor Anton",2,10,1025
21,"AUS","SAX",815,"Richie Porte",1,0,1010
22,"ITA","KAT",21,"Filippo Pozzato",18,1215,994
23,"CAN","GRM",64,"Ryder Hesjedal",8,420,990
24,"ITA","LIQ",24,"Ivan Basso",16,975,956
25,"GER","THR",28,"Tony Martin",16,910,903
26,"USA","RSH",130,"Chris Horner",4,87,895
27,"ESP","XAC",67,"Ezequiel Mosquera",8,510,845
28,"DEN","SAX",25,"Matti Breschel",16,870,840
29,"RUS","KAT",18,"Alexandr Kolobnev",18,1045,815
30,"RUS","RAB",12,"Denis Menchov",22,1610,810
31,"NOR","SKY",7,"Edvald Boasson Hagen",24,1181,800
32,"ESP","SKY",63,"Juan Antonio Flecha",8,505,785
33,"AUS","THR",70,"Michael Rogers",8,328,762
34,"BEL","VAC",143,"Björn Leukemans",4,230,760
35,"GER","THR",16,"André Greipel",18,1055,747
36,"SVK","LIQ",857,"Peter Sagan",1,0,697
37,"ESP","CTT",46,"Carlos Sastre",12,630,687
38,"KAZ","AST",81,"Maxim Iglinskiy",6,345,685
39,"ITA","VAC",292,"Marco Marcato",2,75,680
40,"ITA","LIQ",39,"Daniele Bennati",12,620,651
41,"CZE","LIQ",19,"Roman Kreuziger",18,1090,650
41,"DEN","SAX",40,"Jakob Fuglsang",12,490,650
43,"SLO","RSH",58,"Janez Brajkovic",8,402,644
44,"AUS","AST",48,"Allan Davis",10,660,580
45,"AUS","THR",122,"Matthew Goss",4,240,573
46,"ESP","GCE",101,"David Arroyo",4,195,570
47,"FRA","BBO",99,"Thomas Voeckler",6,215,555
48,"SVK","THR",72,"Peter Velits",8,330,551
49,"ITA","LAM",13,"Damiano Cunego",20,1205,550
49,"GBR","GRM",146,"David Millar",4,180,550
51,"ITA","THR",69,"Marco Pinotti",8,494,543
52,"IRL","ALM",153,"Nicholas Roche",4,170,540
53,"ESP","CTT",95,"Xavier Tondo",6,180,532
54,"ITA","CSF",334,"Domenico Pozzovivo",2,100,515
54,"FRA","VAC",78,"Romain Feillu",6,45,515
56,"ITA","ASA",53,"Luca Paolini",10,375,500
57,"ESP","GCE",155,"Jose Joaquin Rojas",4,175,495
58,"IRL","GRM",43,"Daniel Martin",12,445,490
58,"ITA","VAC",44,"Riccardo Riccò",12,0,490
60,"GER","RAB",144,"Paul Martens",4,240,485
61,"ITA","ASA",32,"Stefano Garzelli",14,900,480
62,"AUT","THR",115,"Bernhard Eisel",4,245,470
