"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2016","Score 2017"
1,"NED","ORS",1812,"Annemiek van Vleuten",35,2388,4462
2,"NED","DLT",1862,"Anna van der Breggen",55,2952,3499
3,"NED","SUN",1876,"Ellen van Dijk",28,2215,2799
4,"POL","WM3",2750,"Katarzyna Niewiadoma",40,3082,2499
5,"ITA","WHT",1639,"Elisa Longo Borghini",40,3050,2424
6,"USA","SUN",1537,"Coryn Rivera",8,687,2370
7,"NED","WM3",1814,"Marianne Vos",55,2422,2140
8,"BEL","WHT",1930,"Jolien D\'hoore",25,870,2092
9,"FIN","CBT",2006,"Lotta Henttala (Lepistö)",24,1817,2025
10,"RSA","CBT",1678,"Ashleigh Moolman",20,1340,2005
11,"GBR","DLT",1700,"Elizabeth Deignan",55,2505,1921
12,"NED","DLT",1704,"Chantal van den Broek-Blaak",35,2472,1804
13,"NED","SUN",1706,"Lucinda Brand",20,1345,1739
14,"ITA","LPR",1715,"Elena Cecchini",20,1546,1543
15,"DEN","CBT",3036,"Cecilie Uttrup Ludwig",4,406,1510
16,"LUX","DLT",1635,"Christine Majerus",18,1342,1473
17,"GER","LPR",1875,"Lisa Brennauer",25,1515,1431
18,"AUS","FDJ",1605,"Shara Marche (Gillow)",6,447,1413
19,"AUS","ORS",2975,"Katrin Garfoot",16,1147,1384
20,"SLO","BTC",2768,"Eugenia Bujak",14,1160,1354
21,"USA","DLT",1896,"Megan Guarnier",55,3788,1237
22,"AUS","ALE",1869,"Chloe Hosking",20,1576,1201
23,"DEN","DLT",3069,"Amelie Dideriksen",20,458,1199
24,"ESP","CPC",2579,"Sheyla Gutierrez",4,390,1143
25,"CUB","ASA",3820,"Arlenis Sierra",1,0,1125
26,"AUS","ORS",1601,"Amanda Spratt",12,845,1093
27,"NED","DLT",1843,"Amy Pieters",20,1309,968
28,"CAN","SUN",1789,"Leah Kirchman",30,2315,962
29,"USA","TIB",2737,"Lauren Stephens",2,175,950
30,"NED","ALE",1496,"Janneke Ensing",4,235,941
31,"GBR","LPR",1508,"Hannah Barnes",6,550,928
32,"ITA","LWK",1569,"Maria Confalonieri",12,902,855
33,"ITA","ALE",1720,"Marta Bastianelli",16,1178,837
34,"BEL","DRP",1668,"Ann Sophie Duyck",4,320,820
35,"USA","UHC",1923,"Ruth Winder",1,0,760
36,"FRA","FDJ",1445,"Roxane Fournier",12,1020,750
37,"LTU","VAI",1916,"Rasa Leleivyte",4,265,710
38,"SWE","BTC",1422,"Hanna Nilsson",1,0,709
39,"ITA","WHT",1522,"Giorgia Bronzini",8,645,702
39,"AUS","ORS",2914,"Sarah Roy",6,505,702
41,"BEL","LSL",1933,"Lotte Kopecky",6,555,700
42,"AUS","ORS",2267,"Gracie Elvin",10,772,685
43,"NED","CPC",1705,"Kirsten Wild",20,710,683
44,"GER","CBT",3068,"Lisa Klein",2,115,665
44,"CZE","BPK",3861,"Nikola Noskova",1,0,665
46,"FRA","WHT",1581,"Audrey Cordon-Ragot",4,225,632
47,"GBR","DRP",3552,"Alice Barnes",1,85,610
48,"CAN","DLT",1578,"Karol-Ann Canuel",8,603,601
49,"FRA","LPR",1810,"Pauline Ferrand-Prevot",14,270,590
50,"RUS","BPK",1837,"Olga Zabelinskaya",16,1227,570
51,"USA","UHC",1545,"Tayler Wiles",4,257,490
52,"NOR","HPU",3542,"Susanne Andersen",1,50,476
53,"SWE","WHT",1878,"Emilia Fahlin",8,613,453
54,"AUT","DRP",2305,"Martina Ritter",2,140,450
55,"NED","WM3",2586,"Riejanne Markus",2,150,440
56,"NED","WM3",1494,"Anouska Koster",8,667,435
57,"USA","UHC",2953,"Katherine Hall",2,222,432
58,"NZL","XYZ",1610,"Linda Melanie Villumsen",4,327,419
59,"USA","TVW",1880,"Amber Neben",12,883,409
60,"GBR","CPC",1728,"Danielle Rowe (King)",8,575,403
61,"NED","HPU",1502,"Nina Kessler",8,587,401
62,"GER","WHT",1607,"Claudia Lichtenberg-Häusler",14,1115,384
63,"GER","LPR",1877,"Trixi Worrack",10,705,378
64,"ITA","LWK",1724,"Tatiana Guderzo",6,560,365
65,"NED","SUN",2915,"Floortje Mackaij",14,1075,364
66,"BLR","LPR",1478,"Alena Amialyusik",25,1870,360
67,"SLO","BTC",1527,"Polona Batagelj",2,125,359
68,"NED","WM3",3106,"Moniek Tenniglo",2,140,355
69,"USA","CPC",2943,"Kristabel Doebel-Hickok",2,125,350
70,"AUS","WHT",1950,"Annette Edmondson",1,0,342
71,"NED","SUN",2365,"Sabrina Stultiëns",1,0,337
72,"NED","LWD",1849,"Monique van de Ree",4,335,325
73,"GBR","WNT",3308,"Hayley Simmonds",1,100,316
74,"USA","T20",3578,"Leah Thomas",3,193,300
75,"JPN","FDJ",3052,"Eri Yonamine",6,430,290
75,"NED","PVD",3288,"Eva Buurman",2,160,290
75,"MEX","TIB",2962,"Ingrid Drexel Clouthier",1,60,290
78,"CRO","BTC",2902,"Mia Radotic",2,220,285
79,"NOR","HPU",3020,"Vita Heine",2,200,280
80,"POL","DLT",2308,"Katarzyna Pawlowska",4,385,278
81,"ITA","LPR",1899,"Barbara Guarischi",4,325,272
82,"ESP","LTK",2580,"Eider Merino",1,30,270
83,"AUS","LPR",1606,"Tiffany Cromwell",10,690,252
84,"USA","T20",3539,"Chloe Dygert-Owen",4,233,250
84,"ITA","BPK",2377,"Ilaria Sanguineti",2,155,250
86,"ITA","ALE",1906,"Soraya Paladin",1,110,241
87,"UKR","XYZ",1803,"Eivgenia Vysotska",4,380,230
88,"GER","ALE",1830,"Romy Kasper",4,203,226
88,"GER","HPU",1873,"Charlotte Becker",1,40,226
90,"NED","PVD",1516,"Nathalie van Gogh",2,175,225
91,"FRA","LSL",2370,"Elise Delzenne",6,540,223
92,"ESP","ALE",1464,"Ane Santesteban",4,265,220
92,"RUS","XYZ",3042,"Anastasiia Chursina",1,0,220
92,"NED","PVD",1503,"Pauliena Rooijakkers",1,0,220
95,"DEN","TVW",2909,"Christina Siggaard",2,146,214
95,"SLO","XYZ",2901,"Ursa Pintar",1,100,214
97,"ROU","TOG",3097,"Ana Maria Covrig",1,230,200
97,"LAT","VAI",3038,"Lija Laizane",2,200,200
99,"NOR","HPU",1641,"Emilie Moberg",6,434,195
99,"GER","CBT",2405,"Stephanie Pohl",2,115,195
101,"ITA","CPC",1598,"Rossella Ratto",6,250,193
102,"HUN","MIC",3457,"Monika Kiraly",1,100,190
102,"ITA","ASA",3495,"Sofia Bertizzolo",1,65,190
104,"ITA","XYZ",3846,"Letizia Paternoster",1,0,180
105,"NED","FDJ",1817,"Roxane Knetemann",4,357,178
105,"USA","LPR",2954,"Alexis Ryan",2,115,178
107,"NED","SUN",2112,"Julia Soek",2,175,177
108,"ITA","VAL",3857,"Elisa Balsamo",1,0,175
109,"NED","DLT",3074,"Jip van den Bos",4,310,170
109,"NED","PVD",2905,"Demi De Jong",2,175,170
111,"SWE","TVW",3287,"Sara Penton",1,0,169
112,"CAN","TIB",1790,"Lex Albrecht",2,125,165
113,"UKR","LWK",1559,"Tetyana Riabchenko",4,355,160
114,"ITA","WM3",1743,"Valentina Scandolara",4,70,150
114,"GBR","XYZ",2248,"Claire Rose (Galloway)",1,25,150
114,"USA","TIB",1893,"Kendall Ryan",1,0,150
114,"COL","SER",3891,"Ana Sanabria",1,0,150
118,"AUS","ORS",1772,"Rachel Neylan",4,167,145
118,"SUI","CBT",2171,"Nicole Hanselmann",2,140,145
120,"DEN","CBT",3493,"Marie Shousboe Vilmann",1,60,130
120,"ISR","TVW",3705,"Shani Bloch",1,0,130
120,"ITA","VAL",3847,"Silvia Persico",1,0,130
123,"DEN","TVW",3475,"Pernille Mathiesen",1,40,129
124,"FRA","SUN",3697,"Juliette Labous",1,0,127
125,"GER","LPR",2304,"Mieke Kröger",4,215,126
126,"CAN","BPK",3579,"Alison Jackson",4,308,125
126,"GER","CBT",3090,"Clara Koppenburg",1,15,125
128,"USA","LWD",1560,"Flavia Oliveira",8,590,120
129,"POL","XYZ",3849,"Marta Lach",1,0,115
130,"BEL","SVE",2598,"Valérie Demey",1,10,110
131,"DEN","WHT",1505,"Julie Leth",2,124,102
132,"AUT","CBT",1660,"Christina Perchtold",1,100,100
132,"EST","XYZ",2422,"Liisi Rist",1,100,100
132,"ITA","ASA",3035,"Arianna Fidanza",1,95,100
132,"FRA","FDJ",1627,"Charlotte Bravard",1,60,100
132,"AUS","HBS",3021,"Lizzie Williams",1,40,100
132,"DEN","TVW",3282,"Camilla Møllebro Pedersen",1,16,100
132,"GBR","XYZ",2384,"Elinor Barker",1,0,100
132,"CAN","RLW",3821,"Allison Beveridge",1,0,100
132,"NED","PVD",3694,"Nina Buysman",1,0,100
132,"ITA","VAL",3870,"Chiara Consonni",1,0,100
132,"SRB","BTC",3083,"Jelena Eric",1,0,100
132,"SUI","XYZ",3873,"Sina Frei",1,0,100
132,"KAZ","ASA",3505,"Nedezda Geneleva",1,0,100
132,"ESP","BDP",2584,"Lourdes Oyarbide",1,0,100
132,"NED","PVD",3691,"Esther van Veen",1,0,100
132,"HKG","XYZ",3264,"Qian Yu Yang",1,0,100
148,"FRA","FDJ",2009,"Aude Biannic",2,35,88
148,"FRA","FDJ",2968,"Eugénie Duval",1,30,88
150,"ITA","BTC",2362,"Anna Zita Maria Stricker",1,0,85
151,"NED","HPU",1823,"Ilona Hoeksma",2,250,80
151,"ITA","ASA",3501,"Sofia Beggin",1,0,80
151,"UKR","XYZ",3291,"Olga Shekel",1,0,80
154,"AZE","ASA",2275,"Olena Pavlukhina",4,375,75
155,"ITA","HPU",1488,"Simona Frapporti",1,0,71
156,"BEL","SVE",1931,"Kelly Druyts",2,170,70
156,"BEL","SVE",1929,"Jessy Druyts",1,0,70
156,"CAN","RLW",3001,"Kirsti Lay",1,0,70
156,"ITA","BPK",3915,"Erica Magnaldi",1,0,70
156,"ESP","LTK",3065,"Alba Teruel Ribes",1,0,70
156,"FRA","XYZ",2010,"Aurore Verhoeven",1,0,70
