Year,Rider ID,Rider Name,Country,UCI Team,UCI Cat,Age,Price,Score
2010,1.0,Alberto Contador,ESP,AST,WT,28.0,32.0,1976.0
2011,1.0,Alberto Contador,ESP,SBS,WT,29.0,28.0,2654.0
2012,1.0,Alberto Contador,ESP,STB,WT,30.0,30.0,1560.0
2013,1.0,Alberto Contador,ESP,TST,WT,31.0,32.0,904.0
2014,1.0,Alberto Contador,ESP,TCS,WT,32.0,16.0,2648.0
2015,1.0,Alberto Contador,ESP,TCS,WT,33.0,32.0,1899.0
2016,1.0,Alberto Contador,ESP,TNK,WT,34.0,24.0,1840.0
2017,1.0,Alberto Contador,ESP,TFS,WT,35.0,18.0,1560.0
2010,2.0,Alejandro Valverde,ESP,GCE,WT,30.0,32.0,0.0
2011,2.0,Alejandro Valverde,ESP,XYZ,,31.0,0.0,0.0
2012,2.0,Alejandro Valverde,ESP,MOV,WT,32.0,22.0,1931.0
2013,2.0,Alejandro Valverde,ESP,MOV,WT,33.0,30.0,2808.0
2014,2.0,Alejandro Valverde,ESP,MOV,WT,34.0,34.0,3956.0
2015,2.0,Alejandro Valverde,ESP,MOV,WT,35.0,38.0,3214.0
2016,2.0,Alejandro Valverde,ESP,MOV,WT,36.0,36.0,2233.0
2017,2.0,Alejandro Valverde,ESP,MOV,WT,37.0,34.0,1580.0
2018,2.0,Alejandro Valverde,ESP,MOV,WT,38.0,28.0,3404.0
2019,2.0,Alejandro Valverde,ESP,MOV,WT,39.0,34.0,2910.0
2020,2.0,Alejandro Valverde,ESP,MOV,WT,40.0,28.0,0.0
2010,3.0,Fabian Cancellara,SUI,SAX,WT,29.0,28.0,1736.0
2011,3.0,Fabian Cancellara,SUI,LEO,WT,30.0,24.0,2091.0
2012,3.0,Fabian Cancellara,SUI,RNT,WT,31.0,26.0,1305.0
2013,3.0,Fabian Cancellara,SUI,RLT,WT,32.0,26.0,2155.0
2014,3.0,Fabian Cancellara,SUI,TFR,WT,33.0,32.0,1534.0
2015,3.0,Fabian Cancellara,SUI,TFR,WT,34.0,24.0,405.0
2016,3.0,Fabian Cancellara,SUI,TFS,WT,35.0,18.0,1456.0
2010,4.0,Mark Cavendish,GBR,THR,WT,25.0,28.0,1541.0
2011,4.0,Mark Cavendish,GBR,THR,WT,26.0,24.0,1588.0
2012,4.0,Mark Cavendish,GBR,SKY,WT,27.0,22.0,1330.0
2013,4.0,Mark Cavendish,GBR,OPQ,WT,28.0,26.0,1906.0
2014,4.0,Mark Cavendish,GBR,OPQ,WT,29.0,32.0,855.0
2015,4.0,Mark Cavendish,GBR,EQS,WT,30.0,22.0,655.0
2016,4.0,Mark Cavendish,GBR,DDD,WT,31.0,20.0,1456.0
2017,4.0,Mark Cavendish,GBR,DDD,WT,32.0,20.0,197.0
2018,4.0,Mark Cavendish,GBR,DDD,WT,33.0,16.0,70.0
2019,4.0,Mark Cavendish,GBR,TDD,WT,34.0,6.0,10.0
2020,4.0,Mark Cavendish,GBR,TBM,WT,35.0,1.0,0.0
2010,5.0,Cadel Evans,AUS,BMC,PROF,33.0,28.0,1660.0
2011,5.0,Cadel Evans,AUS,BMC,WT,34.0,22.0,1823.0
2012,5.0,Cadel Evans,AUS,BMC,WT,35.0,26.0,825.0
2013,5.0,Cadel Evans,AUS,BMC,WT,36.0,18.0,627.0
2014,5.0,Cadel Evans,AUS,BMC,WT,37.0,14.0,930.0
2010,6.0,Philippe Gilbert,BEL,OLO,WT,28.0,28.0,2145.0
2011,6.0,Philippe Gilbert,BEL,OLO,WT,29.0,28.0,3986.0
2012,6.0,Philippe Gilbert,BEL,BMC,WT,30.0,36.0,1084.0
2013,6.0,Philippe Gilbert,BEL,BMC,WT,31.0,32.0,995.0
2014,6.0,Philippe Gilbert,BEL,BMC,WT,32.0,20.0,2010.0
2015,6.0,Philippe Gilbert,BEL,BMC,WT,33.0,28.0,1455.0
2016,6.0,Philippe Gilbert,BEL,BMC,WT,34.0,24.0,809.0
2017,6.0,Philippe Gilbert,BEL,QST,WT,35.0,12.0,1629.0
2018,6.0,Philippe Gilbert,BEL,QST,WT,36.0,26.0,1209.0
2019,6.0,Philippe Gilbert,BEL,DQT,WT,37.0,18.0,898.0
2020,6.0,Philippe Gilbert,BEL,LTS,WT,38.0,12.0,0.0
2010,7.0,Edvald Boasson Hagen,NOR,SKY,WT,23.0,24.0,800.0
2011,7.0,Edvald Boasson Hagen,NOR,SKY,WT,24.0,16.0,1339.0
2012,7.0,Edvald Boasson Hagen,NOR,SKY,WT,25.0,20.0,1535.0
2013,7.0,Edvald Boasson Hagen,NOR,SKY,WT,26.0,26.0,487.0
2014,7.0,Edvald Boasson Hagen,NOR,SKY,WT,27.0,18.0,207.0
2015,7.0,Edvald Boasson Hagen,NOR,MTN,PROF,28.0,14.0,985.0
2016,7.0,Edvald Boasson Hagen,NOR,DDD,WT,29.0,20.0,1190.0
2017,7.0,Edvald Boasson Hagen,NOR,DDD,WT,30.0,16.0,1520.0
2018,7.0,Edvald Boasson Hagen,NOR,DDD,WT,31.0,20.0,785.0
2019,7.0,Edvald Boasson Hagen,NOR,TDD,WT,32.0,10.0,408.0
2020,7.0,Edvald Boasson Hagen,NOR,NTT,WT,33.0,4.0,0.0
2010,8.0,Thor Hushovd,NOR,CTT,PROF,32.0,24.0,1442.0
2011,8.0,Thor Hushovd,NOR,GRM,WT,33.0,22.0,826.0
2012,8.0,Thor Hushovd,NOR,BMC,WT,34.0,14.0,60.0
2013,8.0,Thor Hushovd,NOR,BMC,WT,35.0,14.0,512.0
2014,8.0,Thor Hushovd,NOR,BMC,WT,36.0,10.0,150.0
2010,9.0,Samuel Sanchez,ESP,EUS,WT,32.0,24.0,1265.0
2011,9.0,Samuel Sanchez,ESP,EUS,WT,33.0,20.0,1495.0
2012,9.0,Samuel Sanchez,ESP,EUS,WT,34.0,18.0,1291.0
2013,9.0,Samuel Sanchez,ESP,EUS,WT,35.0,20.0,595.0
2014,9.0,Samuel Sanchez,ESP,BMC,WT,36.0,10.0,527.0
2015,9.0,Samuel Sanchez,ESP,BMC,WT,37.0,8.0,300.0
2016,9.0,Samuel Sanchez,ESP,BMC,WT,38.0,4.0,684.0
2017,9.0,Samuel Sanchez,ESP,BMC,WT,39.0,8.0,10.0
2010,10.0,Andy Schleck,LUX,SAX,WT,25.0,24.0,1364.0
2011,10.0,Andy Schleck,LUX,LEO,WT,26.0,24.0,1109.0
2012,10.0,Andy Schleck,LUX,RNT,WT,27.0,16.0,0.0
2013,10.0,Andy Schleck,LUX,RLT,WT,28.0,16.0,15.0
2014,10.0,Andy Schleck,LUX,TFR,WT,29.0,8.0,0.0
2010,11.0,Tom Boonen,BEL,QST,WT,30.0,22.0,1065.0
2011,11.0,Tom Boonen,BEL,QST,WT,31.0,20.0,580.0
2012,11.0,Tom Boonen,BEL,OPQ,WT,32.0,12.0,2007.0
2013,11.0,Tom Boonen,BEL,OPQ,WT,33.0,26.0,130.0
2014,11.0,Tom Boonen,BEL,OPQ,WT,34.0,18.0,942.0
2015,11.0,Tom Boonen,BEL,EQS,WT,35.0,20.0,1129.0
