Rider ID,Country,UCI Team 2010,Rider Name,Price 2010,Score 2010,Gender,UCI Cat 2010,Born,Age 2010,UCI Team 2011,Price 2011,Score 2011,UCI Cat 2011,Age 2011,UCI Team 2012,Price 2012,Score 2012,UCI Cat 2012,Age 2012,UCI Team 2013,Price 2013,Score 2013,UCI Cat 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,UCI Cat 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,UCI Cat 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,UCI Cat 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,UCI Cat 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,UCI Cat 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,UCI Cat 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,UCI Cat 2020,Age 2020
29,ITA,LIQ,Vincenzo Nibali,16.0,2221.0,Men,WT,1984.0,26.0,LIQ,26.0,1342.0,WT,27.0,LIQ,18.0,1530.0,WT,28.0,AST,24.0,3003.0,WT,29.0,AST,32.0,1815.0,WT,30.0,AST,28.0,1423.0,WT,31.0,AST,24.0,1113.0,WT,32.0,TBM,22.0,2315.0,WT,33.0,TBM,32.0,830.0,WT,34.0,TBM,20.0,1152.0,WT,35.0,TFS,14.0,0.0,WT,36.0
6,BEL,OLO,Philippe Gilbert,28.0,2145.0,Men,WT,1982.0,28.0,OLO,28.0,3986.0,WT,29.0,BMC,36.0,1084.0,WT,30.0,BMC,32.0,995.0,WT,31.0,BMC,20.0,2010.0,WT,32.0,BMC,28.0,1455.0,WT,33.0,BMC,24.0,809.0,WT,34.0,QST,12.0,1629.0,WT,35.0,QST,26.0,1209.0,WT,36.0,DQT,18.0,898.0,WT,37.0,LTS,12.0,0.0,WT,38.0
1,ESP,AST,Alberto Contador,32.0,1976.0,Men,WT,1982.0,28.0,SBS,28.0,2654.0,WT,29.0,STB,30.0,1560.0,WT,30.0,TST,32.0,904.0,WT,31.0,TCS,16.0,2648.0,WT,32.0,TCS,32.0,1899.0,WT,33.0,TNK,24.0,1840.0,WT,34.0,TFS,18.0,1560.0,WT,35.0,,,,,,,,,,,,,,,
14,USA,GRM,Tyler Farrar,20.0,1900.0,Men,WT,1984.0,26.0,GRM,26.0,1024.0,WT,27.0,GRS,14.0,383.0,WT,28.0,GRS,12.0,595.0,WT,29.0,GRS,10.0,865.0,WT,30.0,MTN,14.0,40.0,PROF,31.0,DDD,2.0,0.0,WT,32.0,DDD,1.0,0.0,WT,33.0,,,,,,,,,,,,,,,
36,ESP,KAT,Joaquim Rodriguez,14.0,1840.0,Men,WT,1979.0,31.0,KAT,24.0,2334.0,WT,32.0,KAT,26.0,3837.0,WT,33.0,KAT,34.0,2520.0,WT,34.0,KAT,34.0,1319.0,WT,35.0,KAT,26.0,2205.0,WT,36.0,KAT,30.0,1075.0,WT,37.0,,,,,,,,,,,,,,,,,,,,
3,SUI,SAX,Fabian Cancellara,28.0,1736.0,Men,WT,1981.0,29.0,LEO,24.0,2091.0,WT,30.0,RNT,26.0,1305.0,WT,31.0,RLT,26.0,2155.0,WT,32.0,TFR,32.0,1534.0,WT,33.0,TFR,24.0,405.0,WT,34.0,TFS,18.0,1456.0,WT,35.0,,,,,,,,,,,,,,,,,,,,
5,AUS,BMC,Cadel Evans,28.0,1660.0,Men,PROF,1977.0,33.0,BMC,22.0,1823.0,WT,34.0,BMC,26.0,825.0,WT,35.0,BMC,18.0,627.0,WT,36.0,BMC,14.0,930.0,WT,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GBR,THR,Mark Cavendish,28.0,1541.0,Men,WT,1985.0,25.0,THR,24.0,1588.0,WT,26.0,SKY,22.0,1330.0,WT,27.0,OPQ,26.0,1906.0,WT,28.0,OPQ,32.0,855.0,WT,29.0,EQS,22.0,655.0,WT,30.0,DDD,20.0,1456.0,WT,31.0,DDD,20.0,197.0,WT,32.0,DDD,16.0,70.0,WT,33.0,TDD,6.0,10.0,WT,34.0,TBM,1.0,0.0,WT,35.0
38,KAZ,AST,Alexandre Vinokourov,14.0,1482.0,Men,WT,1973.0,37.0,AST,18.0,712.0,WT,38.0,AST,10.0,370.0,WT,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NOR,CTT,Thor Hushovd,24.0,1442.0,Men,PROF,1978.0,32.0,GRM,22.0,826.0,WT,33.0,BMC,14.0,60.0,WT,34.0,BMC,14.0,512.0,WT,35.0,BMC,10.0,150.0,WT,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
