Rider ID,Age 0ya,UCI Team 0ya,Price 0ya,Score 0ya,Observation Year,Rider Name,Country,Age 1ya,UCI Team 1ya,Price 1ya,Score 1ya,Age 2ya,UCI Team 2ya,Price 2ya,Score 2ya,Age 3ya,UCI Team 3ya,Price 3ya,Score 3ya,Age 4ya,UCI Team 4ya,Price 4ya,Score 4ya,Age 5ya,UCI Team 5ya,Price 5ya,Score 5ya,Age 6ya,UCI Team 6ya,Price 6ya,Score 6ya,Age 7ya,UCI Team 7ya,Price 7ya,Score 7ya,Age 8ya,UCI Team 8ya,Price 8ya,Score 8ya
1814,25.0,RBW,65.0,5432.0,2012,Marianne Vos,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,36.0,GEW,40.0,3500.0,2012,Judith Arndt,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,29.0,HPU,50.0,3290.0,2012,Emma Johansson,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,29.0,SLU,10.0,2960.0,2012,Evelyn Stevens,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,31.0,SLU,6.0,2847.0,2012,Trixi Worrack,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,27.0,GEW,8.0,2055.0,2012,Linda Melanie Villumsen,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,38.0,SLU,31.0,1926.0,2012,Ina Teutenberg,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,22.0,SLT,1.0,1911.0,2012,Anna van der Breggen,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,21.0,HPU,4.0,1815.0,2012,Elisa Longo Borghini,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,25.0,SLU,8.0,1797.0,2012,Ellen van Dijk,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,30.0,LNL,25.0,1787.0,2012,Kirsten Wild,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,30.0,LNL,40.0,1741.0,2012,Emma Pooley,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,30.0,RBW,31.0,1656.0,2012,Annemiek van Vleuten,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,24.0,LNL,16.0,1615.0,2012,Elizabeth Deignan,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,29.0,DPZ,20.0,1515.0,2012,Giorgia Bronzini,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,29.0,SKI,8.0,1418.0,2012,Adrie Visser,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,33.0,RBW,12.0,1395.0,2012,Liesbet De Vocht,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,37.0,SLU,16.0,1370.0,2012,Amber Neben,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,32.0,LNL,10.0,1335.0,2012,Shelley Olds,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,23.0,BPK,1.0,1325.0,2012,Alena Amialyusik,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,28.0,MCG,14.0,1241.0,2012,Monia Baccaille,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,32.0,RUS,6.0,1225.0,2012,Olga Zabelinskaya,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,27.0,TIB,4.0,1127.0,2012,Megan Guarnier,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,39.0,EXG,8.0,1104.0,2012,Kristin Armstrong,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,22.0,SLU,8.0,1090.0,2012,Chloe Hosking,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,27.0,RBW,6.0,1060.0,2012,Iris Slappendel,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,38.0,LNL,4.0,1030.0,2012,Sharon Laws,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,20.0,RBW,6.0,1022.0,2012,Pauline Ferrand-Prevot,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,40.0,SLU,8.0,958.0,2012,Clara Hughes,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,38.0,RUS,2.0,945.0,2012,Hanka Kupfernagel,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,32.0,GEW,6.0,920.0,2012,Loes Gunnewijk,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,25.0,OPK,8.0,910.0,2012,Joelle Numainville,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,32.0,OPK,1.0,890.0,2012,Carmen Small,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,27.0,LBL,8.0,875.0,2012,Ashleigh Moolman,RSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,24.0,GEW,4.0,815.0,2012,Tiffany Cromwell,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,23.0,LNL,6.0,785.0,2012,Lucinda Brand,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,31.0,BPK,12.0,782.0,2012,Noemi Cantele,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,21.0,GEW,2.0,756.0,2012,Melissa Hoskins,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,31.0,FHT,8.0,755.0,2012,Rochelle Gilmore,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,23.0,FUT,1.0,695.0,2012,Audrey Cordon-Ragot,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,25.0,DPZ,4.0,675.0,2012,Alona Andruk,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163,21.0,XYZ,2.0,664.0,2012,Larisa Pankova,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,28.0,MCG,2.0,657.0,2012,Malgorzata Jasinska,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,25.0,GSD,12.0,645.0,2012,Christine Majerus,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,25.0,GEW,12.0,640.0,2012,Shara Marche (Gillow),AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,21.0,BRE,4.0,615.0,2012,Aude Biannic,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,20.0,MCG,2.0,595.0,2012,Elena Cecchini,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,34.0,DLT,18.0,590.0,2012,Martine Bras,NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
