Rider ID,Country,UCI Team 2012,Rider Name,Price 2012,Score 2012,Gender,Born,Age 2012,UCI Team 2013,Price 2013,Score 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,Age 2020
1814,NED,RBW,Marianne Vos,65.0,5432.0,Women,1987.0,25.0,RBW,82.0,5081.0,26.0,RBW,80.0,4604.0,27.0,RBW,70.0,120.0,28.0,RBW,60.0,2422.0,29.0,WM3,55.0,2140.0,30.0,WAD,30.0,2724.0,31.0,CCC,36.0,4020.0,32.0,CCC,50.0,0.0,33.0
1608,GER,GEW,Judith Arndt,40.0,3500.0,Women,1976.0,36.0,,,,,XYZ,1.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,
1649,SWE,HPU,Emma Johansson,50.0,3290.0,Women,1983.0,29.0,GEW,55.0,6104.0,30.0,GEW,60.0,4441.0,31.0,GEW,55.0,3510.0,32.0,WHT,50.0,3062.0,33.0,WHT,20.0,0.0,34.0,,,,,,,,,,,,
1881,USA,SLU,Evelyn Stevens,10.0,2960.0,Women,1983.0,29.0,SLU,55.0,2302.0,30.0,SLU,40.0,2162.0,31.0,DLT,35.0,1215.0,32.0,DLT,16.0,2115.0,33.0,,,,,,,,,,,,,,,,
1877,GER,SLU,Trixi Worrack,6.0,2847.0,Women,1981.0,31.0,SLU,30.0,820.0,32.0,SLU,16.0,938.0,33.0,VEL,14.0,1159.0,34.0,LPR,14.0,705.0,35.0,LPR,10.0,378.0,36.0,CSR,6.0,554.0,37.0,TFS,6.0,50.0,38.0,TFS,2.0,0.0,39.0
1610,NZL,GEW,Linda Melanie Villumsen,8.0,2055.0,Women,1985.0,27.0,XYZ,1.0,1483.0,28.0,WHT,20.0,745.0,29.0,UHC,12.0,405.0,30.0,UHC,6.0,327.0,31.0,XYZ,4.0,419.0,32.0,TVC,6.0,70.0,33.0,XYZ,1.0,0.0,34.0,XYZ,1.0,0.0,35.0
1874,GER,SLU,Ina Teutenberg,31.0,1926.0,Women,1974.0,38.0,SLU,26.0,0.0,39.0,XYZ,1.0,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,
1862,NED,SLT,Anna van der Breggen,1.0,1911.0,Women,1990.0,22.0,SLT,20.0,2755.0,23.0,RBW,35.0,2841.0,24.0,RBW,35.0,4696.0,25.0,RBW,55.0,2952.0,26.0,DLT,55.0,3499.0,27.0,DLT,52.0,3604.0,28.0,DLT,52.0,2956.0,29.0,DLT,52.0,0.0,30.0
1639,ITA,HPU,Elisa Longo Borghini,4.0,1815.0,Women,1991.0,21.0,HPU,20.0,1759.0,22.0,HPU,35.0,2692.0,23.0,WHT,35.0,2363.0,24.0,WHT,35.0,3050.0,25.0,WHT,40.0,2424.0,26.0,WHT,42.0,1839.0,27.0,TFS,30.0,1831.0,28.0,TFS,24.0,0.0,29.0
1876,NED,SLU,Ellen van Dijk,8.0,1797.0,Women,1987.0,25.0,SLU,18.0,4251.0,26.0,DLT,50.0,1888.0,27.0,DLT,35.0,1515.0,28.0,DLT,20.0,2215.0,29.0,SUN,28.0,2799.0,30.0,SUN,36.0,2374.0,31.0,TFS,30.0,1545.0,32.0,TFS,20.0,0.0,33.0
1705,NED,LNL,Kirsten Wild,25.0,1787.0,Women,1982.0,30.0,SKI,26.0,1685.0,31.0,GIW,25.0,2549.0,32.0,HPU,35.0,2132.0,33.0,HPU,25.0,710.0,34.0,CPC,20.0,683.0,35.0,WHT,18.0,1337.0,36.0,WNT,18.0,1260.0,37.0,WNT,16.0,0.0,38.0
1701,GBR,LNL,Emma Pooley,40.0,1741.0,Women,1982.0,30.0,BCT,20.0,768.0,31.0,LBL,20.0,815.0,32.0,,,,,XYZ,4.0,60.0,34.0,XYZ,2.0,0.0,35.0,XYZ,1.0,0.0,36.0,,,,,,,,
1812,NED,RBW,Annemiek van Vleuten,31.0,1656.0,Women,1982.0,30.0,RBW,55.0,1728.0,31.0,RBW,30.0,1692.0,32.0,BCT,30.0,1561.0,33.0,OGE,20.0,2388.0,34.0,ORS,35.0,4462.0,35.0,MTS,52.0,3817.0,36.0,MTS,52.0,4260.0,37.0,MTS,52.0,0.0,38.0
