	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	SVK 	TNK 	WT 	Peter Sagan 	1990 	32 	2699 	4334 	[+]
2. 	GBR 	SKY 	WT 	Chris Froome 	1985 	26 	1873 	2777 	[+]
3. 	COL 	MOV 	WT 	Nairo Quintana 	1990 	30 	1994 	2759 	[+]
4. 	BEL 	BMC 	WT 	Greg Van Avermaet 	1985 	30 	2057 	2516 	[+]
5. 	NOR 	KAT 	WT 	Alexander Kristoff 	1987 	36 	3175 	2296 	[+]
6. 	ESP 	MOV 	WT 	Alejandro Valverde 	1980 	36 	3214 	2233 	[+]
7. 	ITA 	LAM 	WT 	Diego Ulissi 	1989 	8 	565 	2020 	[+]
8. 	ITA 	TFS 	WT 	Giacomo Nizzolo 	1989 	14 	925 	1906 	[+]
9. 	ESP 	TNK 	WT 	Alberto Contador 	1982 	24 	1899 	1840 	[+]
10. 	ITA 	BAR 	PROF 	Sonny Colbrelli 	1990 	8 	645 	1825 	[+]
11. 	FRA 	ALM 	WT 	Romain Bardet 	1990 	20 	1180 	1777 	[+]
12. 	NED 	TLJ 	WT 	Dylan Groenewegen 	1993 	4 	265 	1663 	[+]
13. 	FRA 	EQS 	WT 	Julian Alaphilippe 	1992 	22 	1005 	1625 	[+]
14. 	NED 	TGA 	WT 	Tom Dumoulin 	1990 	26 	1508 	1600 	[+]
15. 	COL 	OGE 	WT 	Esteban Chaves 	1990 	24 	1283 	1591 	[+]
16. 	AUS 	OGE 	WT 	Michael Matthews 	1990 	24 	1593 	1565 	[+]
17. 	FRA 	COF 	PROF 	Nacer Bouhanni 	1990 	22 	1205 	1472 	[+]
18. 	GBR 	DDD 	WT 	Mark Cavendish 	1985 	20 	655 	1456 	[+]
19. 	SUI 	TFS 	WT 	Fabian Cancellara 	1981 	18 	405 	1456 	[+]
20. 	ESP 	MOV 	WT 	Ion Izagirre 	1989 	8 	662 	1387 	[+]
21. 	FRA 	DEN 	PROF 	Bryan Coquard 	1992 	8 	660 	1350 	[+]
22. 	FRA 	FDJ 	WT 	Arnaud Démare 	1991 	18 	493 	1325 	[+]
23. 	LUX 	EQS 	WT 	Bob Jungels 	1992 	8 	370 	1325 	[+]
24. 	GER 	LTS 	WT 	André Greipel 	1982 	24 	1565 	1246 	[+]
25. 	NOR 	DDD 	WT 	Edvald Boasson Hagen 	1987 	20 	985 	1190 	[+]
26. 	COL 	EQS 	WT 	Fernando Gaviria 	1994 	8 	70 	1178 	[+]
27. 	BEL 	EQS 	WT 	Tom Boonen 	1980 	22 	1129 	1175 	[+]
28. 	AUS 	BMC 	WT 	Rohan Dennis 	1990 	12 	741 	1169 	[+]
29. 	GER 	EQS 	WT 	Marcel Kittel 	1988 	20 	143 	1145 	[+]
30. 	POR 	LAM 	WT 	Rui Costa 	1986 	22 	1335 	1130 	[+]
31. 	COL 	CPT 	WT 	Rigoberto Uran 	1987 	22 	1249 	1120 	[+]
32. 	ITA 	AST 	WT 	Vincenzo Nibali 	1984 	24 	1423 	1113 	[+]
33. 	IRL 	EQS 	WT 	Daniel Martin 	1986 	18 	515 	1111 	[+]
34. 	ESP 	KAT 	WT 	Joaquim Rodriguez 	1979 	30 	2205 	1075 	[+]
35. 	BEL 	TLJ 	WT 	Sep Vanmarcke 	1988 	18 	910 	1035 	[+]
36. 	FRA 	FDJ 	WT 	Thibaut Pinot 	1990 	26 	1774 	1012 	[+]
37. 	ITA 	AST 	WT 	Fabio Aru 	1990 	26 	2392 	960 	[+]
38. 	ESP 	MOV 	WT 	Jonathan Castroviejo 	1987 	8 	549 	958 	[+]
39. 	POL 	TNK 	WT 	Rafal Majka 	1989 	18 	924 	955 	[+]
40. 	IRL 	SKY 	WT 	Nicholas Roche 	1984 	4 	208 	950 	[+]
41. 	NED 	TFS 	WT 	Bauke Mollema 	1986 	18 	978 	940 	[+]
42. 	GBR 	OGE 	WT 	Adam Yates 	1992 	16 	719 	935 	[+]
43. 	CZE 	EQS 	WT 	Petr Vakoc 	1992 	2 	184 	935 	[+]
44. 	GBR 	OGE 	WT 	Simon Yates 	1992 	8 	590 	921 	[+]
45. 	ITA 	EQS 	WT 	Gianluca Brambilla 	1987 	4 	282 	909 	[+]
46. 	AUS 	BMC 	WT 	Richie Porte 	1985 	18 	971 	890 	[+]
47. 	CZE 	EQS 	WT 	Zdeněk Štybar 	1985 	22 	1125 	880 	[+]
48. 	ITA 	EQS 	WT 	Matteo Trentin 	1989 	16 	870 	880 	[+]
49. 	RUS 	KAT 	WT 	Ilnur Zakarin 	1989 	12 	749 	880 	[+]
50. 	NED 	EQS 	WT 	Niki Terpstra 	1984 	22 	1272 	877 	[+]
51. 	ITA 	MOV 	WT 	Giovanni Visconti 	1983 	4 	289 	835 	[+]
52. 	FRA 	LTS 	WT 	Tony Gallopin 	1988 	20 	1016 	825 	[+]
53. 	BEL 	BMC 	WT 	Philippe Gilbert 	1982 	24 	1455 	809 	[+]
54. 	GER 	EQS 	WT 	Tony Martin 	1985 	20 	735 	805 	[+]
55. 	USA 	CPT 	WT 	Andrew Talansky 	1988 	10 	370 	775 	[+]
56. 	BEL 	VWT 	CONT 	Timothy Dupont 	1987 	2 	175 	775 	[+]
57. 	ITA 	CPT 	WT 	Alberto Bettiol 	1993 	1 	70 	770 	[+]
58. 	EST 	AST 	WT 	Tanel Kangert 	1987 	4 	241 	759 	[+]
59. 	COL 	BMC 	WT 	Darwin Atapuma 	1988 	2 	191 	754 	[+]
60. 	GER 	TGA 	WT 	John Degenkolb 	1989 	24 	1420 	750 	[+]
61. 	FRA 	TGA 	WT 	Warren Barguil 	1991 	6 	390 	746 	[+]
62. 	BEL 	LTS 	WT 	Jens Debusschere 	1989 	18 	1000 	745 	[+]
63. 	BEL 	TFS 	WT 	Edward Theuns 	1991 	16 	1120 	735 	[+]
64. 	COL 	SKY 	WT 	Sergio Henao 	1987 	16 	979 	731 	[+]
65. 	BEL 	WBC 	CONT 	Baptiste Planckaert 	1988 	4 	305 	730 	[+]
66. 	ITA 	SKY 	WT 	Gianni Moscon 	1994 	2 	0 	730 	[+]
67. 	BEL 	OGE 	WT 	Jens Keukeleire 	1988 	4 	297 	726 	[+]
68. 	BEL 	LTS 	WT 	Tim Wellens 	1991 	14 	766 	721 	[+]
69. 	GBR 	SKY 	WT 	Ben Swift 	1987 	6 	339 	720 	[+]
70. 	GBR 	SKY 	WT 	Geraint Thomas 	1986 	20 	969 	716 	[+]
71. 	DEN 	AST 	WT 	Jakob Fuglsang 	1985 	6 	467 	713 	[+]
72. 	BEL 	IAM 	WT 	Oliver Naesen 	1990 	2 	108 	710 	[+]
73. 	BEL 	LTS 	WT 	Tiesj Benoot 	1994 	22 	1095 	705 	[+]
74. 	ITA 	STH 	PROF 	Filippo Pozzato 	1981 	2 	80 	690 	[+]
75. 	NED 	SKY 	WT 	Danny van Poppel 	1993 	12 	770 	687 	[+]
76. 	ESP 	BMC 	WT 	Samuel Sanchez 	1978 	4 	300 	684 	[+]
77. 	FRA 	ALM 	WT 	Pierre Latour 	1993 	8 	370 	671 	[+]
78. 	BEL 	LTS 	WT 	Jürgen Roelandts 	1985 	12 	830 	666 	[+]
79. 	NED 	TLJ 	WT 	Wilco Kelderman 	1991 	10 	696 	649 	[+]
80. 	ITA 	WGG 	PROF 	Enrico Gasparotto 	1982 	2 	205 	645 	[+]
81. 	NED 	SKY 	WT 	Wout Poels 	1987 	12 	771 	640 	[+]
82. 	CZE 	TNK 	WT 	Roman Kreuziger 	1986 	8 	599 	640 	[+]
