	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓
1. 	ESP 	MOV 	WT 	Alejandro Valverde 	1980 	28 	1580 	3404
2. 	SVK 	BOH 	WT 	Peter Sagan 	1990 	48 	2695 	2805
3. 	GBR 	MTS 	WT 	Simon Yates 	1992 	18 	1138 	2751
4. 	ITA 	QST 	WT 	Elia Viviani 	1989 	28 	1827 	2455
5. 	FRA 	QST 	WT 	Julian Alaphilippe 	1992 	28 	1576 	2396
6. 	NED 	SUN 	WT 	Tom Dumoulin 	1990 	36 	2565 	2230
7. 	FRA 	FDJ 	WT 	Thibaut Pinot 	1990 	28 	1852 	2185
8. 	FRA 	ALM 	WT 	Romain Bardet 	1990 	22 	1165 	2100
9. 	BEL 	BMC 	WT 	Greg Van Avermaet 	1985 	36 	2916 	2068
10. 	COL 	AST 	WT 	Miguel Angel Lopez 	1994 	16 	865 	1980
11. 	BEL 	TFS 	WT 	Jasper Stuyven 	1992 	20 	1380 	1905
12. 	SLO 	TLJ 	WT 	Primož Roglič 	1989 	20 	1330 	1882
13. 	FRA 	FDJ 	WT 	Arnaud Démare 	1991 	28 	1718 	1852
14. 	GBR 	SKY 	WT 	Geraint Thomas 	1986 	18 	875 	1748
15. 	AUS 	SUN 	WT 	Michael Matthews 	1990 	32 	2073 	1693
16. 	GER 	BOH 	WT 	Pascal Ackermann 	1994 	2 	310 	1645
17. 	BEL 	LTS 	WT 	Tim Wellens 	1991 	20 	1223 	1558
18. 	ITA 	TBM 	WT 	Sonny Colbrelli 	1990 	18 	1340 	1548
19. 	POL 	SKY 	WT 	Michal Kwiatkowski 	1990 	30 	1875 	1518
20. 	GBR 	SKY 	WT 	Chris Froome 	1985 	40 	3334 	1485
21. 	NOR 	UAD 	WT 	Alexander Kristoff 	1987 	36 	2545 	1465
22. 	BEL 	ALM 	WT 	Oliver Naesen 	1990 	18 	1160 	1430
23. 	NED 	QST 	WT 	Niki Terpstra 	1984 	8 	678 	1426
24. 	ITA 	SKY 	WT 	Gianni Moscon 	1994 	24 	1269 	1423
25. 	SLO 	TBM 	WT 	Matej Mohoric 	1994 	2 	280 	1390
26. 	DEN 	AST 	WT 	Michael Valgren 	1992 	4 	485 	1375
27. 	COL 	EFD 	WT 	Rigoberto Uran 	1987 	20 	1380 	1285
28. 	ITA 	TBM 	WT 	Domenico Pozzovivo 	1982 	16 	1226 	1280
29. 	GER 	QST 	WT 	Maximilian Schachmann 	1994 	1 	161 	1261
30. 	AUS 	BMC 	WT 	Rohan Dennis 	1990 	10 	682 	1226
31. 	BEL 	QST 	WT 	Philippe Gilbert 	1982 	26 	1629 	1209
32. 	COL 	MOV 	WT 	Nairo Quintana 	1990 	30 	1558 	1190
33. 	COL 	SKY 	WT 	Egan Bernal 	1997 	8 	470 	1161
34. 	CAN 	EFD 	WT 	Michael Woods 	1986 	6 	660 	1155
35. 	NED 	TFS 	WT 	Bauke Mollema 	1986 	16 	1225 	1150
36. 	ESP 	TBM 	WT 	Ion Izagirre 	1989 	14 	960 	1135
37. 	BEL 	LTS 	WT 	Tiesj Benoot 	1994 	10 	845 	1112
38. 	ESP 	QST 	WT 	Enric Mas Nicolau 	1995 	2 	253 	1100
39. 	BEL 	BMC 	WT 	Dylan Teuns 	1992 	18 	1056 	1091
40. 	NED 	QST 	WT 	Fabio Jakobsen 	1996 	1 	0 	1074
41. 	NED 	TLJ 	WT 	Steven Kruijswijk 	1987 	6 	550 	1065
42. 	LUX 	QST 	WT 	Bob Jungels 	1992 	18 	1088 	1046
43. 	FRA 	ALM 	WT 	Pierre Latour 	1993 	6 	445 	1010
44. 	IRL 	BOH 	WT 	Sam Bennett 	1990 	12 	900 	985
45. 	CZE 	QST 	WT 	Zdeněk Štybar 	1985 	10 	735 	985
46. 	BEL 	QST 	WT 	Yves Lampaert 	1991 	6 	644 	951
47. 	DEN 	AST 	WT 	Jakob Fuglsang 	1985 	4 	465 	950
48. 	NED 	TLJ 	WT 	Dylan Groenewegen 	1993 	20 	1215 	946
49. 	AUT 	BOH 	WT 	Patrick Konrad 	1991 	2 	310 	945
50. 	IRL 	UAD 	WT 	Daniel Martin 	1986 	22 	1445 	935
51. 	NZL 	TLJ 	WT 	George Bennett 	1990 	6 	551 	885
52. 	NED 	SUN 	WT 	Wilco Kelderman 	1991 	14 	1006 	880
53. 	ECU 	MOV 	WT 	Richard Carapaz 	1993 	2 	290 	880
54. 	ITA 	MTS 	WT 	Matteo Trentin 	1989 	28 	1778 	848
55. 	POL 	BOH 	WT 	Rafal Majka 	1989 	16 	1139 	835
56. 	BEL 	EFD 	WT 	Sep Vanmarcke 	1988 	12 	770 	834
57. 	ITA 	TBM 	WT 	Vincenzo Nibali 	1984 	32 	2315 	830
58. 	ITA 	BOH 	WT 	Davide Formolo 	1992 	4 	255 	800
59. 	NOR 	DDD 	WT 	Edvald Boasson Hagen 	1987 	20 	1520 	785
60. 	BEL 	VWC 	PROF 	Wout Van Aert 	1994 	2 	180 	770
61. 	GER 	TKA 	WT 	Nils Politt 	1994 	1 	65 	770
62. 	GER 	TFS 	WT 	John Degenkolb 	1989 	18 	1090 	765
63. 	CZE 	MTS 	WT 	Roman Kreuziger 	1986 	1 	160 	740
64. 	GBR 	MTS 	WT 	Adam Yates 	1992 	20 	1177 	739
