	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price  ↓ 	Prev 	Score 	
1. 	SLO 	TJV 	WT 	Primož Roglič 	1989 	38 	4070 	0 	[+]
2. 	SVK 	BOH 	WT 	Peter Sagan 	1990 	38 	2014 	0 	[+]
3. 	COL 	INS 	WT 	Egan Bernal 	1997 	36 	2752 	0 	[+]
4. 	FRA 	DQT 	WT 	Julian Alaphilippe 	1992 	36 	2601 	0 	[+]
5. 	ESP 	MOV 	WT 	Alejandro Valverde 	1980 	28 	2910 	0 	[+]
6. 	GER 	BOH 	WT 	Pascal Ackermann 	1994 	28 	2462 	0 	[+]
7. 	NOR 	UAD 	WT 	Alexander Kristoff 	1987 	28 	2239 	0 	[+]
8. 	BEL 	CCC 	WT 	Greg Van Avermaet 	1985 	28 	2153 	0 	[+]
9. 	DEN 	AST 	WT 	Jakob Fuglsang 	1985 	24 	2421 	0 	[+]
10. 	ITA 	COF 	WT 	Elia Viviani 	1989 	24 	1832 	0 	[+]
11. 	NED 	COR 	PROF 	Mathieu van der Poel 	1995 	24 	1778 	0 	[+]
12. 	SLO 	UAD 	WT 	Tadej Pogacar 	1998 	22 	1736 	0 	[+]
13. 	ITA 	CCC 	WT 	Matteo Trentin 	1989 	22 	1713 	0 	[+]
14. 	NED 	TJV 	WT 	Dylan Groenewegen 	1993 	22 	1611 	0 	[+]
15. 	IRL 	DQT 	WT 	Sam Bennett 	1990 	22 	1517 	0 	[+]
16. 	BEL 	DQT 	WT 	Remco Evenepoel 	2000 	22 	1276 	0 	[+]
17. 	NED 	TJV 	WT 	Tom Dumoulin 	1990 	22 	422 	0 	[+]
18. 	BEL 	ALM 	WT 	Oliver Naesen 	1990 	20 	1605 	0 	[+]
19. 	BEL 	TJV 	WT 	Wout Van Aert 	1994 	20 	1175 	0 	[+]
20. 	GBR 	MTS 	WT 	Simon Yates 	1992 	20 	645 	0 	[+]
21. 	GBR 	MTS 	WT 	Adam Yates 	1992 	18 	1603 	0 	[+]
22. 	BEL 	DQT 	WT 	Yves Lampaert 	1991 	18 	1562 	0 	[+]
23. 	BEL 	LTS 	WT 	Tim Wellens 	1991 	18 	1471 	0 	[+]
24. 	AUS 	LTS 	WT 	Caleb Ewan 	1994 	18 	1470 	0 	[+]
25. 	GER 	BOH 	WT 	Maximilian Schachmann 	1994 	18 	1464 	0 	[+]
26. 	FRA 	GFC 	WT 	Thibaut Pinot 	1990 	18 	655 	0 	[+]
27. 	NED 	TFS 	WT 	Bauke Mollema 	1986 	16 	1690 	0 	[+]
28. 	KAZ 	AST 	WT 	Alexey Lutsenko 	1992 	16 	1525 	0 	[+]
29. 	COL 	AST 	WT 	Miguel Angel Lopez 	1994 	16 	1453 	0 	[+]
30. 	GER 	BOH 	WT 	Emanuel Buchmann 	1992 	16 	1401 	0 	[+]
31. 	COL 	PCB 	PROF 	Nairo Quintana 	1990 	16 	1370 	0 	[+]
32. 	ECU 	INS 	WT 	Richard Carapaz 	1993 	16 	1110 	0 	[+]
33. 	BEL 	TFS 	WT 	Jasper Stuyven 	1992 	16 	1100 	0 	[+]
34. 	DEN 	DQT 	WT 	Kasper Asgreen 	1995 	16 	1047 	0 	[+]
35. 	FRA 	ALM 	WT 	Romain Bardet 	1990 	16 	650 	0 	[+]
36. 	NED 	TJV 	WT 	Mike Teunissen 	1992 	14 	1507 	0 	[+]
37. 	ITA 	UAD 	WT 	Diego Ulissi 	1989 	14 	1400 	0 	[+]
38. 	CAN 	EF1 	WT 	Michael Woods 	1986 	14 	1385 	0 	[+]
39. 	BEL 	SUN 	WT 	Tiesj Benoot 	1994 	14 	1380 	0 	[+]
40. 	FRA 	GFC 	WT 	David Gaudu 	1996 	14 	1285 	0 	[+]
41. 	ITA 	TFS 	WT 	Vincenzo Nibali 	1984 	14 	1152 	0 	[+]
42. 	ITA 	TBM 	WT 	Sonny Colbrelli 	1990 	14 	1135 	0 	[+]
43. 	AUS 	SUN 	WT 	Michael Matthews 	1990 	14 	1102 	0 	[+]
44. 	FRA 	GFC 	WT 	Arnaud Démare 	1991 	14 	1050 	0 	[+]
45. 	LUX 	DQT 	WT 	Bob Jungels 	1992 	14 	910 	0 	[+]
46. 	POL 	INS 	WT 	Michal Kwiatkowski 	1990 	14 	781 	0 	[+]
47. 	GBR 	INS 	WT 	Geraint Thomas 	1986 	14 	768 	0 	[+]
48. 	AUS 	INS 	WT 	Rohan Dennis 	1990 	14 	743 	0 	[+]
