	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	NED 	RBW 	Marianne Vos 	1987 	80 	5081 	4604 	[+]
2. 	SWE 	GEW 	Emma Johansson 	1983 	60 	6104 	4441 	[+]
3. 	GBR 	DLT 	Elizabeth Deignan 	1988 	20 	1126 	3415 	[+]
4. 	FRA 	RBW 	Pauline Ferrand-Prevot 	1992 	12 	600 	3032 	[+]
5. 	NED 	RBW 	Anna van der Breggen 	1990 	35 	2755 	2841 	[+]
6. 	GER 	SLU 	Lisa Brennauer 	1988 	14 	1642 	2833 	[+]
7. 	ITA 	HPU 	Elisa Longo Borghini 	1991 	35 	1759 	2692 	[+]
8. 	NED 	GIW 	Kirsten Wild 	1982 	25 	1685 	2549 	[+]
9. 	ITA 	WHT 	Giorgia Bronzini 	1983 	25 	2080 	2346 	[+]
10. 	USA 	SLU 	Evelyn Stevens 	1983 	40 	2302 	2162 	[+]
11. 	USA 	ALE 	Shelley Olds 	1980 	20 	1437 	1930 	[+]
12. 	NED 	DLT 	Ellen van Dijk 	1987 	50 	4251 	1888 	[+]
13. 	NED 	RBW 	Annemiek van Vleuten 	1982 	30 	1728 	1692 	[+]
14. 	BEL 	LBL 	Jolien D'hoore 	1990 	6 	517 	1470 	[+]
15. 	GER 	GIW 	Claudia Lichtenberg-Häusler 	1985 	14 	1160 	1286 	[+]
16. 	NED 	SLU 	Chantal van den Broek-Blaak 	1989 	8 	487 	1278 	[+]
17. 	NED 	GIW 	Amy Pieters 	1991 	10 	863 	1175 	[+]
18. 	BLR 	BPK 	Alena Amialyusik 	1989 	25 	1608 	1110 	[+]
19. 	ITA 	EMF 	Rossella Ratto 	1993 	20 	1454 	1106 	[+]
20. 	LUX 	DLT 	Christine Majerus 	1987 	12 	1070 	1050 	[+]
21. 	ITA 	EMF 	Elena Cecchini 	1992 	2 	300 	1030 	[+]
22. 	NED 	RBW 	Lucinda Brand 	1989 	14 	1270 	968 	[+]
23. 	GER 	SLU 	Trixi Worrack 	1981 	16 	820 	938 	[+]
24. 	USA 	DLT 	Megan Guarnier 	1985 	10 	562 	930 	[+]
25. 	AUS 	SLU 	Tiffany Cromwell 	1988 	16 	1110 	903 	[+]
26. 	RSA 	HPU 	Ashleigh Moolman 	1985 	20 	1340 	850 	[+]
27. 	GBR 	LBL 	Emma Pooley 	1982 	20 	768 	815 	[+]
28. 	NED 	RBW 	Thalita de Jong 	1993 	1 	310 	792 	[+]
29. 	FRA 	HPU 	Audrey Cordon-Ragot 	1989 	6 	407 	790 	[+]
30. 	NZL 	WHT 	Linda Melanie Villumsen 	1985 	20 	1483 	745 	[+]
31. 	ITA 	ALE 	Barbara Guarischi 	1990 	1 	80 	650 	[+]
32. 	CAN 	OPW 	Leah Kirchman 	1990 	1 	30 	645 	[+]
33. 	NED 	BCT 	Vera Koedooder 	1983 	6 	520 	632 	[+]
34. 	NED 	RBW 	Roxane Knetemann 	1987 	6 	650 	605 	[+]
35. 	GBR 	GIW 	Lucy van der Haar 	1994 	6 	336 	595 	[+]
36. 	FIN 	BCT 	Lotta Henttala (Lepistö) 	1989 	1 	100 	585 	[+]
37. 	BEL 	FTZ 	Sofie De Vuyst 	1987 	4 	380 	575 	[+]
38. 	SLO 	BTC 	Eugenia Bujak 	1989 	1 	40 	562 	[+]
39. 	USA 	UHC 	Mara Abbott 	1985 	20 	1135 	535 	[+]
40. 	BEL 	LBL 	Liesbet De Vocht 	1979 	6 	457 	535 	[+]
41. 	POL 	RBW 	Katarzyna Niewiadoma 	1994 	6 	172 	530 	[+]
42. 	AUS 	GEW 	Melissa Hoskins 	1991 	4 	140 	495 	[+]
43. 	GER 	WHT 	Charlotte Becker 	1983 	2 	315 	475 	[+]
44. 	CZE 	XYZ 	Martina Sablikova 	1987 	2 	200 	445 	[+]
45. 	GER 	XYZ 	Beate Zanner 	1982 	1 	75 	440 	[+]
46. 	NZL 	XYZ 	Reta Trotman 	1989 	1 	0 	440 	[+]
47. 	BEL 	WET 	Ann Sophie Duyck 	1987 	1 	12 	427 	[+]
48. 	UKR 	XYZ 	Hanna Solovey 	1992 	12 	300 	425 	[+]
49. 	USA 	UHC 	Alison Powers 	1979 	6 	495 	415 	[+]
50. 	NOR 	HPU 	Emilie Moberg 	1991 	2 	10 	410 	[+]
51. 	AUS 	XYZ 	Katrin Garfoot 	1981 	1 	0 	405 	[+]
52. 	USA 	TIB 	Lauren Stephens 	1986 	1 	102 	403 	[+]
