	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓
1. 	NED 	MTS 	Annemiek van Vleuten 	1982 	52 	3817 	4260
2. 	NED 	CCC 	Marianne Vos 	1987 	36 	2724 	4020
3. 	NED 	PHV 	Lorena Wiebes 	1999 	18 	1286 	3373
4. 	ITA 	TVC 	Marta Bastianelli 	1987 	22 	1725 	3348
5. 	NED 	DLT 	Anna van der Breggen 	1990 	52 	3604 	2956
6. 	POL 	CSR 	Katarzyna Niewiadoma 	1994 	26 	2022 	2611
7. 	NED 	DLT 	Amy Pieters 	1991 	24 	2184 	2384
8. 	ITA 	ALE 	Soraya Paladin 	1993 	4 	258 	2141
9. 	NED 	SUN 	Lucinda Brand 	1989 	22 	1534 	2121
10. 	AUS 	MTS 	Amanda Spratt 	1987 	32 	3085 	1976
11. 	GER 	CSR 	Lisa Klein 	1996 	10 	719 	1962
12. 	ITA 	TFS 	Elisa Longo Borghini 	1991 	30 	1839 	1831
13. 	DEN 	BIG 	Cecilie Uttrup Ludwig 	1995 	18 	1265 	1830
14. 	NED 	PHV 	Demi Vollering 	1996 	1 	0 	1805
15. 	BEL 	LSL 	Lotte Kopecky 	1995 	6 	300 	1660
16. 	GER 	WNT 	Lisa Brennauer 	1988 	18 	1319 	1615
17. 	LUX 	DLT 	Christine Majerus 	1987 	16 	1285 	1593
18. 	NED 	TFS 	Ellen van Dijk 	1987 	30 	2374 	1545
19. 	RSA 	CCC 	Ashleigh Moolman 	1985 	36 	2760 	1447
20. 	USA 	SUN 	Coryn Rivera 	1992 	26 	2090 	1421
21. 	BEL 	PHV 	Sofie De Vuyst 	1987 	4 	370 	1290
22. 	NED 	WNT 	Kirsten Wild 	1982 	18 	1337 	1260
23. 	CAN 	SUN 	Leah Kirchman 	1990 	14 	994 	1236
24. 	USA 	T20 	Chloe Dygert-Owen 	1997 	6 	145 	1220
25. 	ITA 	VAL 	Elisa Balsamo 	1998 	16 	1191 	1165
26. 	NED 	SUN 	Floortje Mackaij 	1995 	14 	970 	1051
27. 	ITA 	CSR 	Elena Cecchini 	1992 	14 	1069 	1041
28. 	ESP 	MOV 	Margarita Victoria Garcia 	1984 	8 	631 	964
29. 	ITA 	VAL 	Marta Cavalli 	1998 	2 	246 	925
30. 	NED 	DLT 	Chantal van den Broek-Blaak 	1989 	20 	1585 	917
31. 	DEN 	DLT 	Annika Langvad 	1984 	4 	0 	885
32. 	CUB 	ASA 	Arlenis Sierra 	1992 	18 	1215 	875
33. 	NOR 	FDJ 	Stine Borgli 	1990 	1 	0 	797
34. 	AUS 	ALE 	Chloe Hosking 	1990 	16 	1168 	741
35. 	GBR 	TFS 	Elizabeth Deignan 	1988 	30 	0 	716
36. 	USA 	BIG 	Leah Thomas 	1989 	10 	815 	715
37. 	GBR 	CSR 	Alice Barnes 	1995 	4 	321 	705
38. 	NOR 	HPU 	Vita Heine 	1984 	2 	150 	705
39. 	CAN 	TIB 	Alison Jackson 	1988 	8 	567 	696
40. 	USA 	TFS 	Ruth Winder 	1993 	10 	551 	675
41. 	SUI 	WCC 	Marlen Reusser 	1991 	2 	120 	655
42. 	GER 	TVC 	Mieke Kröger 	1993 	1 	88 	642
43. 	SWE 	FDJ 	Emilia Fahlin 	1988 	14 	1052 	640
44. 	GBR 	BIG 	Elizabeth Banks 	1990 	1 	0 	605
45. 	DEN 	SUN 	Pernille Mathiesen 	1997 	4 	333 	586
46. 	ESP 	WNT 	Ane Santesteban 	1990 	10 	785 	580
47. 	USA 	DLT 	Katherine Hall 	1987 	12 	851 	557
48. 	FRA 	SUN 	Juliette Labous 	1998 	4 	346 	551
49. 	BEL 	LSL 	Julia Van de Velde 	1993 	1 	0 	505
50. 	USA 	CGS 	Amber Neben 	1975 	6 	475 	500
51. 	AUS 	TIB 	Brodie Chapman 	1991 	2 	222 	490
52. 	FIN 	TFS 	Lotta Henttala (Lepistö) 	1989 	22 	1015 	488
53. 	NED 	DLT 	Jip van den Bos 	1996 	2 	155 	472
54. 	ITA 	TFS 	Letizia Paternoster 	1999 	10 	535 	460
55. 	FRA 	TFS 	Audrey Cordon-Ragot 	1989 	10 	862 	455
56. 	USA 	TFS 	Tayler Wiles 	1989 	10 	775 	450
57. 	ITA 	VAL 	Maria Confalonieri 	1993 	14 	1066 	435
58. 	NOR 	SUN 	Susanne Andersen 	1998 	6 	95 	430
59. 	SLO 	BTC 	Eugenia Bujak 	1989 	16 	1249 	425
60. 	BLR 	CSR 	Alena Amialyusik 	1989 	10 	802 	421
61. 	GER 	WNT 	Kathrin Hammes 	1989 	2 	120 	419
62. 	GER 	SUN 	Liane Lippert 	1998 	10 	859 	416
63. 	DEN 	DLT 	Amelie Dideriksen 	1996 	14 	488 	412
64. 	ITA 	WNT 	Erica Magnaldi 	1992 	8 	600 	405
65. 	RUS 	BTC 	Anastasiia Chursina 	1995 	6 	504 	395
66. 	GER 	WNT 	Clara Koppenburg 	1995 	2 	150 	385
67. 	ESP 	MOV 	Lourdes Oyarbide 	1994 	1 	16 	384
68. 	NED 	SUN 	Janneke Ensing 	1986 	10 	680 	365
69. 	ESP 	MOV 	Eider Merino 	1994 	8 	535 	365
70. 	ESP 	MOV 	Sheyla Gutierrez 	1994 	8 	270 	364
71. 	AUS 	MTS 	Lucy Kennedy 	1988 	10 	425 	354
