	Country 	Trade Team 	Rider 	Born 	Price  ↓ 	Prev 	Score 	
1. 	NED 	MTS 	Annemiek van Vleuten 	1982 	52 	4260 	0 	[+]
2. 	NED 	DLT 	Anna van der Breggen 	1990 	52 	2956 	0 	[+]
3. 	NED 	CCC 	Marianne Vos 	1987 	50 	4020 	0 	[+]
4. 	NED 	PHV 	Lorena Wiebes 	1999 	46 	3373 	0 	[+]
5. 	ITA 	ALE 	Marta Bastianelli 	1987 	42 	3348 	0 	[+]
6. 	POL 	CSR 	Katarzyna Niewiadoma 	1994 	34 	2611 	0 	[+]
7. 	NED 	DLT 	Amy Pieters 	1991 	30 	2384 	0 	[+]
8. 	GBR 	TFS 	Elizabeth Deignan 	1988 	30 	716 	0 	[+]
9. 	NED 	TFS 	Lucinda Brand 	1989 	26 	2121 	0 	[+]
10. 	AUS 	MTS 	Amanda Spratt 	1987 	26 	1976 	0 	[+]
11. 	DEN 	FDJ 	Cecilie Uttrup Ludwig 	1995 	26 	1830 	0 	[+]
12. 	ITA 	CCC 	Soraya Paladin 	1993 	24 	2141 	0 	[+]
13. 	GER 	CSR 	Lisa Klein 	1996 	24 	1962 	0 	[+]
14. 	ITA 	TFS 	Elisa Longo Borghini 	1991 	24 	1831 	0 	[+]
15. 	NED 	PHV 	Demi Vollering 	1996 	22 	1805 	0 	[+]
16. 	BEL 	LSL 	Lotte Kopecky 	1995 	22 	1660 	0 	[+]
17. 	GER 	WNT 	Lisa Brennauer 	1988 	22 	1615 	0 	[+]
18. 	LUX 	DLT 	Christine Majerus 	1987 	20 	1593 	0 	[+]
19. 	NED 	TFS 	Ellen van Dijk 	1987 	20 	1545 	0 	[+]
20. 	RSA 	CCC 	Ashleigh Moolman 	1985 	20 	1447 	0 	[+]
21. 	USA 	SUN 	Coryn Rivera 	1992 	20 	1421 	0 	[+]
22. 	USA 	T20 	Chloe Dygert-Owen 	1997 	20 	1220 	0 	[+]
23. 	NED 	WNT 	Kirsten Wild 	1982 	16 	1260 	0 	[+]
24. 	CAN 	SUN 	Leah Kirchman 	1990 	16 	1236 	0 	[+]
25. 	ITA 	VAL 	Elisa Balsamo 	1998 	16 	1165 	0 	[+]
26. 	FIN 	TFS 	Lotta Henttala (Lepistö) 	1989 	16 	488 	0 	[+]
27. 	BEL 	DLT 	Jolien D'hoore 	1990 	16 	337 	0 	[+]
28. 	BEL 	XYZ 	Sofie De Vuyst 	1987 	14 	1290 	0 	[+]
29. 	NED 	SUN 	Floortje Mackaij 	1995 	14 	1051 	0 	[+]
30. 	ITA 	CSR 	Elena Cecchini 	1992 	12 	1041 	0 	[+]
31. 	ESP 	ALE 	Margarita Victoria Garcia 	1984 	12 	964 	0 	[+]
32. 	ITA 	VAL 	Marta Cavalli 	1998 	12 	925 	0 	[+]
33. 	NED 	DLT 	Chantal van den Broek-Blaak 	1989 	12 	917 	0 	[+]
